"";".id";"Nombre.de.la.instalacion";"Municipio.de.la.instalacion";"Provincia.de.la.instalacion";"Clave.del.registro";"Codigo.registro.autonomico.definitivo";"Potencia.nominal.de.la.fase..kW.";"Grupo.Normativo";"Tipo.de.Inscripcion"
"1704";"NULL";"GREEN PLANET MORALEJA 3";"Moraleja de Enmedio";"MADRID";"RE-109769";"RE/0056/2011";"50,000";"b.1.1.I.2";"Inscripción definitiva"
"1705";"NULL";"GREEN PLANET MORALEJA 4";"Moraleja de Enmedio";"MADRID";"RE-109770";"RE/0057/2011";"50,000";"b.1.1.I.2";"Inscripción definitiva"
"1706";"NULL";"GREEN PLANET MORALEJA 5";"Moraleja de Enmedio";"MADRID";"RE-109771";"RE/0058/2011";"55,000";"b.1.1.I.2";"Inscripción definitiva"
"1707";"NULL";"GREEN PLANET MORALEJA 6";"Moraleja de Enmedio";"MADRID";"RE-109772";"RE/0059/2011";"50,000";"b.1.1.I.2";"Inscripción definitiva"
"1708";"NULL";"GREEN PLANET MORALEJA 7";"Moraleja de Enmedio";"MADRID";"RE-109773";"RE/0060/2011";"50,000";"b.1.1.I.2";"Inscripción definitiva"
"1709";"NULL";"GREEN PLANET MORALEJA 8";"Moraleja de Enmedio";"MADRID";"RE-109774";"RE/0061/2011";"45,000";"b.1.1.I.2";"Inscripción definitiva"
"1710";"NULL";"GREEN PLANET MORALEJA 9";"Moraleja de Enmedio";"MADRID";"RE-109775";"RE/0062/2011";"55,000";"b.1.1.I.2";"Inscripción definitiva"
"1711";"NULL";"HELECHOS";"Leganés";"MADRID";"RE-109776";"RE/0030/2010";"15,000";"b.1.1.I.1";"Inscripción definitiva"
"1712";"NULL";"GREEN PLANET CIEMPOZUELOS 1";"Ciempozuelos";"MADRID";"RE-109777";"RE/0025/2012";"55,000";"b.1.1.I.2";"Inscripción definitiva"
"1713";"NULL";"GREEN PLANET CIEMPOZUELOS 2";"Ciempozuelos";"MADRID";"RE-109778";"RE/0026/2012";"60,000";"b.1.1.I.2";"Inscripción definitiva"
"1714";"NULL";"BOSCH DOV, S.L.";"Ciempozuelos";"MADRID";"RE-109779";"RE/0027/2012";"80,000";"b.1.1.I.2";"Inscripción definitiva"
"1715";"NULL";"BOSCH DOV, S.L.";"Ciempozuelos";"MADRID";"RE-109780";"RE/0028/2012";"80,000";"b.1.1.I.2";"Inscripción definitiva"
"1716";"NULL";"GREEN PLANET CIEMPOZUELOS 5";"Ciempozuelos";"MADRID";"RE-109781";"RE/0029/2012";"75,000";"b.1.1.I.2";"Inscripción definitiva"
"1717";"NULL";"GREEN PLANET CIEMPOZUELOS 6";"Ciempozuelos";"MADRID";"RE-109782";"RE/0030/2012";"80,000";"b.1.1.I.2";"Inscripción definitiva"
"1718";"NULL";"GREEN PLANET CIEMPOZUELOS 7";"Ciempozuelos";"MADRID";"RE-109783";"RE/0031/2012";"70,000";"b.1.1.I.2";"Inscripción definitiva"
"1719";"NULL";"GREEN PLANET CIEMPOZUELOS 8";"Ciempozuelos";"MADRID";"RE-109784";"RE/0032/2012";"75,000";"b.1.1.I.2";"Inscripción definitiva"
"1720";"NULL";"GREEN PLANET CIEMPOZUELOS 9";"Ciempozuelos";"MADRID";"RE-109785";"RE/0033/2012";"70,000";"b.1.1.I.2";"Inscripción definitiva"
"1721";"NULL";"GREEN PLANET CIEMPOZUELOS 10";"Ciempozuelos";"MADRID";"RE-109786";"RE/0034/2012";"65,000";"b.1.1.I.2";"Inscripción definitiva"
"1722";"NULL";"GREEN PLANET CIEMPOZUELOS 11";"Ciempozuelos";"MADRID";"RE-109787";"RE/0035/2012";"65,000";"b.1.1.I.2";"Inscripción definitiva"
"1723";"NULL";"GREEN PLANET CIEMPOZUELOS 12";"Ciempozuelos";"MADRID";"RE-109788";"RE/0024/2012";"65,000";"b.1.1.I.2";"Inscripción definitiva"
"1724";"NULL";"GREEN PLANET CIEMPOZUELOS 13";"Ciempozuelos";"MADRID";"RE-109789";"RE/0023/2012";"50,000";"b.1.1.I.2";"Inscripción definitiva"
"1725";"NULL";"GREEN PLANET CIEMPOZUELOS 14";"Ciempozuelos";"MADRID";"RE-109790";"RE/0036/2012";"70,000";"b.1.1.I.2";"Inscripción definitiva"
"1726";"NULL";"GREEN PLANET CIEMPOZUELOS 15";"Ciempozuelos";"MADRID";"RE-109791";"RE/0038/2012";"50,000";"b.1.1.I.2";"Inscripción definitiva"
"1727";"NULL";"GREEN PLANET CIEMPOZUELOS 16";"Ciempozuelos";"MADRID";"RE-109792";"RE/0037/2012";"50,000";"b.1.1.I.2";"Inscripción definitiva"
"1728";"NULL";"GADIR ARAVACA";"Madrid";"MADRID";"RE-109793";"RE/0085/2010";"3,300";"b.1.1.I.1";"Inscripción definitiva"
"1729";"NULL";"LIDL 5033 RIVAS FUTURA";"Rivas-Vaciamadrid";"MADRID";"RE-109794";"RE/0041/2012";"9,900";"b.1.1.I.1";"Inscripción definitiva"
"1730";"NULL";"GARCÍA GONZALO MADERAS";"Loeches";"MADRID";"RE-109795";"RE/0083/2009";"30,000";"b.1.1.I.2";"Inscripción definitiva"
"1731";"NULL";"PARQUE DE OCIO WARNER";"San Martín de la Vega";"MADRID";"RE-109796";"RE/0154/2009";"1980,000";"b.1.1.I.2";"Inscripción definitiva"
"1732";"NULL";"INSTALACIÓN FOTOVOLTAICA PINTO";"Pinto";"MADRID";"RE-109797";"RE/0042/2012";"200,000";"b.1.1.I.2";"Inscripción definitiva"
"1733";"NULL";"COGENERACIÓN EDIFICIO POLITÉCNICO - UNIVERSIDAD DE ALCALÁ";"Alcalá de Henares";"MADRID";"RE-109798";"RE/0039/2010";"462,000";"a.1.1";"Inscripción definitiva"
"1734";"NULL";"INGENIERÍA IDOM INTERNACIONAL. S.A.";"Madrid";"MADRID";"RE-109799";"RE/0098/2010";"15,000";"b.1.1.I.1";"Inscripción definitiva"
"1735";"NULL";"MICROCOGENERACIÓN GETAFE 9130";"Getafe";"MADRID";"RE-109800";"RE/0044/2011";"30,000";"a.1.1";"Inscripción definitiva"
"1736";"NULL";"FV TELPASIN";"Alpedrete";"MADRID";"RE-109801";"RE/0141/2009";"15,000";"b.1.1.I.1";"Inscripción definitiva"
"1737";"NULL";"ESCOLAPIAS CARABANCHEL";"Madrid";"MADRID";"RE-109822";"RE/0043/2012";"80,000";"b.1.1.I.2";"Inscripción definitiva"
"1738";"NULL";"SFCR NAVAS 1";"Algete";"MADRID";"RE-109823";"RE/0002/2012";"10,000";"b.1.1.I.1";"Inscripción definitiva"
"1739";"NULL";"TARJAR - 1";"Coslada";"MADRID";"RE-109824";"RE/0024/2010";"250,000";"b.1.1.I.2";"Inscripción definitiva"
"1740";"NULL";"PAVIMARSA, S.A.";"Navas del Rey";"MADRID";"RE-109825";"RE/0039/2012";"50,000";"b.1.1.I.2";"Inscripción definitiva"
"1741";"NULL";"DESARROLLO ENERGÍA SOLAR ALTERNATIVA";"Tres Cantos";"MADRID";"RE-109826";"RE/0065/2010";"240,000";"b.1.1.I.2";"Inscripción definitiva"
"1742";"NULL";"FUENTELUCHA";"Alcobendas";"MADRID";"RE-109827";"RE/0003/2012";"45,000";"b.1.1.I.2";"Inscripción definitiva"
"1743";"NULL";"SOCIEDAD CONCESIONARIA R.U. VICÁLVARO, S.L.";"Madrid";"MADRID";"RE-109828";"RE/0022/2012";"70,000";"b.1.1.I.2";"Inscripción definitiva"
"1744";"NULL";"UPAMA, S.A.";"Fuenlabrada";"MADRID";"RE-109829";"RE/0009/2010";"84,000";"b.1.1.I.2";"Inscripción definitiva"
"1745";"NULL";"MICROGENERACIÓN C/ CHOPERA, 2";"Collado Villalba";"MADRID";"RE-110023";"RE/0001/2012";"5,500";"a.1.1";"Inscripción definitiva"
"1746";"NULL";"CIEMPOZUELOS IE1";"Ciempozuelos";"MADRID";"RE-110167";"RE/0093/2009";"1705,000";"b.1.1.I.2";"Inscripción definitiva"
"1747";"NULL";"CIEMPOZUELOS IM1";"Ciempozuelos";"MADRID";"RE-110168";"RE/0094/2009";"1045,000";"b.1.1.I.2";"Inscripción definitiva"
"1748";"NULL";"CIEMPOZUELOS IE6";"Ciempozuelos";"MADRID";"RE-110169";"RE/0095/2009";"1100,000";"b.1.1.I.2";"Inscripción definitiva"
"1749";"NULL";"PARTMAN";"Villanueva de la Cañada";"MADRID";"RE-110170";"RE/0045/2012";"3,300";"b.1.1.I.1";"Inscripción definitiva"
"1750";"NULL";"ITACA 2";"Majadahonda";"MADRID";"RE-110171";"RE/0046/2012";"5,000";"b.1.1.I.1";"Inscripción definitiva"
"1751";"NULL";"LOGEVIPA, S.L.";"Fuenlabrada";"MADRID";"RE-110172";"RE/0101/2010";"12,500";"b.1.1.I.1";"Inscripción definitiva"
"1752";"NULL";"CENTRAL FOTOVOLTAICA YUSTE";"San Martín de Valdeiglesias";"MADRID";"RE-110173";"RE/0068/2010";"20,000";"b.1.1.I.1";"Inscripción definitiva"
"1753";"NULL";"BRAÑUELAS, 14";"Fuenlabrada";"MADRID";"RE-110174";"RE/0073/2010";"20,000";"b.1.1.I.1";"Inscripción definitiva"
"1754";"NULL";"TESORERÍA GENERAL SEG. SOCIAL";"Pozuelo de Alarcón";"MADRID";"RE-110175";"RE/0116/2009";"45,000";"b.1.1.I.2";"Inscripción definitiva"
"1755";"NULL";"PLANTA RCD NAVALCARNERO";"Navalcarnero";"MADRID";"RE-110176";"RE/0014/2009";"500,000";"b.1.1.I.2";"Inscripción definitiva"
"1756";"NULL";"CÍVICO EL CASTILLO";"Villanueva de la Cañada";"MADRID";"RE-110177";"RE/0012/2011";"25,000";"b.1.1.I.2";"Inscripción definitiva"
"1757";"NULL";"MADEGAN";"Serranillos del Valle";"MADRID";"RE-110178";"RE/0093/2011";"40,000";"b.1.1.I.2";"Inscripción definitiva"
"1758";"NULL";"P&H RENOVABLES";"Getafe";"MADRID";"RE-110179";"RE/0044/2012";"7,500";"b.1.1.I.1";"Inscripción definitiva"
"1759";"NULL";"PSF TESTA COSLADA";"Coslada";"MADRID";"RE-110180";"RE/0027/2010";"363,000";"b.1.1.I.2";"Inscripción definitiva"
"1760";"NULL";"BOSCH300FV501";"Madrid";"MADRID";"RE-110433";"RE/0047/2012";"306,000";"b.1.1.I.2";"Inscripción definitiva"
"1761";"NULL";"THYSSENKRUPP ELEVATOR";"Móstoles";"MADRID";"RE-110449";"RE/0005/2011";"10,000";"b.1.1.I.1";"Inscripción definitiva"
"1762";"NULL";"AVÍCOLAS RENOVABLES";"Getafe";"MADRID";"RE-110450";"RE/0086/2010";"20,000";"b.1.1.I.1";"Inscripción definitiva"
"1763";"NULL";"ISLA TRES CANTOS";"Tres Cantos";"MADRID";"RE-110451";"RE/0077/2010";"2,500";"b.1.1.I.1";"Inscripción definitiva"
"1764";"NULL";"ATLETISMO TRES CANTOS";"Tres Cantos";"MADRID";"RE-110452";"RE/0078/2010";"20,000";"b.1.1.I.1";"Inscripción definitiva"
"1765";"NULL";"CODESA";"Rozas de Madrid (Las)";"MADRID";"RE-110453";"RE/0083/2010";"10,000";"b.1.1.I.1";"Inscripción definitiva"
"1766";"NULL";"ALGETE LOGÍSTICA";"Algete";"MADRID";"RE-110454";"RE/0049/2012";"2000,000";"b.1.1.I.2";"Inscripción definitiva"
"1767";"NULL";"GGASMTERAS";"Madrid";"MADRID";"RE-110834";"RE/0276/2008";"7,500";"b.1.1.I.1";"Inscripción definitiva"
"1768";"NULL";"PLIDEPORTIVO MUNICIPAL MECO";"Meco";"MADRID";"RE-110835";"RE/0052/2012";"100,000";"b.1.1.I.2";"Inscripción definitiva"
"1769";"NULL";"MEJORADA 4";"Mejorada del Campo";"MADRID";"RE-110836";"RE/0003/2013";"20,000";"b.1.1.I.1";"Inscripción definitiva"
"1770";"NULL";"MEJORADA 3";"Mejorada del Campo";"MADRID";"RE-110940";"RE/0002/2013";"20,000";"b.1.1.I.1";"Inscripción definitiva"
"1771";"NULL";"MEJORADA 1";"Mejorada del Campo";"MADRID";"RE-110941";"RE/0004/2013";"20,000";"b.1.1.I.1";"Inscripción definitiva"
"1772";"NULL";"MEJORADA 2";"Mejorada del Campo";"MADRID";"RE-110942";"RE/0005/2013";"20,000";"b.1.1.I.1";"Inscripción definitiva"
"1773";"NULL";"RECACOR PINTO";"Pinto";"MADRID";"RE-110943";"RE/0006/2013";"96,000";"b.1.1.I.2";"Inscripción definitiva"
"1774";"NULL";"E.U.I.T. AGRÍCOLAS";"Madrid";"MADRID";"RE-110944";"RE/0007/2013";"18,600";"b.1.1.I.1";"Inscripción definitiva"
"1775";"NULL";"COLEGIO PÚBLICO SAN SEBASTIAN SOL MECO I";"Meco";"MADRID";"RE-110945";"RE/0001/2013";"98,000";"b.1.1.I.2";"Inscripción definitiva"
"1776";"NULL";"INCOPRO V";"Madrid";"MADRID";"RE-110946";"RE/0173/2008";"2,500";"b.1.1.I.1";"Inscripción definitiva"
"1777";"NULL";"MUELAS, S.A.";"Móstoles";"MADRID";"RE-110947";"RE/0008/2013";"45,000";"b.1.1.I.2";"Inscripción definitiva"
"1778";"NULL";"LOECHES 5";"Loeches";"MADRID";"RE-110948";"RE/0013/2013";"20,000";"b.1.1.I.1";"Inscripción definitiva"
"1779";"NULL";"LOECHES 6";"Loeches";"MADRID";"RE-110949";"RE/0014/2013";"20,000";"b.1.1.I.1";"Inscripción definitiva"
"1780";"NULL";"LOECHES 7";"Loeches";"MADRID";"RE-110950";"RE/0015/2013";"20,000";"b.1.1.I.1";"Inscripción definitiva"
"1781";"NULL";"LOECHES 8";"Loeches";"MADRID";"RE-110951";"RE/0016/2013";"20,000";"b.1.1.I.1";"Inscripción definitiva"
"1782";"NULL";"LOECHES 9";"Loeches";"MADRID";"RE-110952";"RE/0017/2013";"20,000";"b.1.1.I.1";"Inscripción definitiva"
"1783";"NULL";"LOECHES 10";"Loeches";"MADRID";"RE-110953";"RE/0018/2013";"20,000";"b.1.1.I.1";"Inscripción definitiva"
"1784";"NULL";"LOECHES 11";"Loeches";"MADRID";"RE-110954";"RE/0019/2013";"20,000";"b.1.1.I.1";"Inscripción definitiva"
"1785";"NULL";"LOECHES 12";"Loeches";"MADRID";"RE-110955";"RE/0020/2013";"20,000";"b.1.1.I.1";"Inscripción definitiva"
"1786";"NULL";"LOECHES 13";"Loeches";"MADRID";"RE-110956";"RE/0021/2013";"20,000";"b.1.1.I.1";"Inscripción definitiva"
"1787";"NULL";"LOECHES 14";"Loeches";"MADRID";"RE-110957";"RE/0022/2013";"20,000";"b.1.1.I.1";"Inscripción definitiva"
